Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
822,131.236971,-12.66325075,70205,702,70103103508,701031035,,,,,,,,,,,,,,,,,,,
822,133.3782542,-11.65786276,70205,702,70203106108,702031061,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103510,701031035,,,,,,,,,,,,,,,,,,,
822,133.6471255,-12.25508592,70205,702,70203106105,702031061,,,,,,,,,,,,,,,,,,,
822,130.9100115,-12.54731927,70205,702,70103103501,701031035,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70101100906,701011009,,,,,,,,,,,,,,,,,,,
822,130.9321025,-12.45712713,70205,702,70102101701,701021017,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,130.6254299,-11.75841975,70205,702,70203106003,702031060,,,,,,,,,,,,,,,,,,,
828,130.932068,-12.432024,70102,701,70102101209,701021012,,,,,,,,,,,,,,,,,,,
828,130.932068,-12.432024,70102,701,70102101203,701021012,,,,,,,,,,,,,,,,,,,
829,130.9597671,-12.45763297,70104,701,70104103807,701041038,,,,,,,,,,,,,,,,,,,
830,130.9580765,-12.52139649,70104,701,70104104202,701041042,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104103705,701041037,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104103809,701041038,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104104113,701041041,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104103901,701041039,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104103816,701041038,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104104005,701041040,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104104110,701041041,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70103103301,701031033,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104104407,701041044,,,,,,,,,,,,,,,,,,,
830,130.974879,-12.475071,70104,701,70104104104,701041041,,,,,,,,,,,,,,,,,,,
831,130.974879,-12.475071,70104,701,70104104110,701041041,,,,,,,,,,,,,,,,,,,
832,130.9936551,-12.49684676,70104,701,70104103606,701041036,,,,,,,,,,,,,,,,,,,
832,130.9830307,-12.51562954,70104,701,70104104314,701041043,,,,,,,,,,,,,,,,,,,
832,130.957712,-12.502817,70104,701,70104104102,701041041,,,,,,,,,,,,,,,,,,,
832,131.0063506,-12.49297483,70104,701,70103103102,701031031,,,,,,,,,,,,,,,,,,,
832,130.957712,-12.502817,70104,701,70104104202,701041042,,,,,,,,,,,,,,,,,,,
832,130.957712,-12.502817,70104,701,70104104318,701041043,,,,,,,,,,,,,,,,,,,
832,130.957712,-12.502817,70104,701,70104104302,701041043,,,,,,,,,,,,,,,,,,,
832,131.0058233,-12.51070433,70104,701,70104104204,701041042,,,,,,,,,,,,,,,,,,,
834,131.0234875,-12.54686461,70103,701,70103103407,701031034,,,,,,,,,,,,,,,,,,,
835,131.0415,-12.5231,70103,701,70103103408,701031034,,,,,,,,,,,,,,,,,,,
835,131.013741,-12.452568,70103,701,70103103109,701031031,,,,,,,,,,,,,,,,,,,
835,131.013741,-12.452568,70103,701,70103103109,701031031,,,,,,,,,,,,,,,,,,,
836,131.100668,-12.557754,70103,701,70103103223,701031032,,,,,,,,,,,,,,,,,,,
836,131.1272564,-12.58487247,70103,701,70103103206,701031032,,,,,,,,,,,,,,,,,,,
837,131.016647,-12.704767,70103,701,70103103513,701031035,,,,,,,,,,,,,,,,,,,
837,131.094044,-12.64187171,70103,701,70103103507,701031035,,,,,,,,,,,,,,,,,,,
838,131.0067348,-12.71878122,70103,701,70103103510,701031035,,,,,,,,,,,,,,,,,,,
839,131.0402017,-12.52001124,70103,701,70103103408,701031034,,,,,,,,,,,,,,,,,,,
